"ccpp_ubigeo","ccpp_name","type","variable","day","value"
"1000000000","hospital","station","high_temp",2023-07-09,NA
"1000000000","hospital","station","high_temp",2023-07-10,NA
"1000000000","hospital","station","high_temp",2023-07-11,NA
"1000000000","hospital","station","high_temp",2023-07-12,NA
"1000000000","hospital","station","high_temp",2023-07-13,NA
"1000000000","hospital","station","high_temp",2023-07-14,NA
"1000000000","hospital","station","high_temp",2023-07-15,NA
"1000000000","hospital","station","high_temp",2023-07-16,NA
"1000000000","hospital","station","high_temp",2023-07-17,NA
"1000000000","hospital","station","high_temp",2023-07-18,NA
"1000000000","hospital","station","high_temp",2023-07-19,NA
"1000000000","hospital","station","high_temp",2023-07-20,NA
"1000000000","hospital","station","high_temp",2023-07-21,NA
"1000000000","hospital","station","high_temp",2023-07-22,NA
"1000000000","hospital","station","high_temp",2023-07-23,NA
"1000000000","hospital","station","high_temp",2023-07-24,NA
"1000000000","hospital","station","high_temp",2023-07-25,NA
"1000000000","hospital","station","high_temp",2023-07-26,NA
"1000000000","hospital","station","high_temp",2023-07-27,NA
"1000000000","hospital","station","high_temp",2023-07-28,NA
"1000000000","hospital","station","high_temp",2023-07-29,NA
"1000000000","hospital","station","high_temp",2023-07-30,NA
"1000000000","hospital","station","high_temp",2023-07-31,NA
"1000000000","hospital","station","high_temp",2023-08-01,NA
"1000000000","hospital","station","high_temp",2023-08-02,NA
"1000000000","hospital","station","high_temp",2023-08-03,NA
"1000000000","hospital","station","high_temp",2023-08-04,NA
"1000000000","hospital","station","high_temp",2023-08-05,NA
"1000000000","hospital","station","high_temp",2023-08-06,NA
"1000000000","hospital","station","high_temp",2023-08-07,NA
"1000000000","hospital","station","high_temp",2023-08-08,NA
"1000000000","hospital","station","high_temp",2023-08-09,NA
"1000000000","hospital","station","high_temp",2023-08-10,NA
"1000000000","hospital","station","high_temp",2023-08-11,NA
"1000000000","hospital","station","high_temp",2023-08-12,NA
"1000000000","hospital","station","high_temp",2023-08-13,NA
"1000000000","hospital","station","high_temp",2023-08-14,NA
"1000000000","hospital","station","high_temp",2023-08-15,NA
"1000000000","hospital","station","high_temp",2023-08-16,NA
"1000000000","hospital","station","high_temp",2023-08-17,NA
"1000000000","hospital","station","high_temp",2023-08-18,NA
"1000000000","hospital","station","high_temp",2023-08-19,NA
"1000000000","hospital","station","high_temp",2023-08-20,NA
"1000000000","hospital","station","high_temp",2023-08-21,NA
"1000000000","hospital","station","high_temp",2023-08-22,NA
"1000000000","hospital","station","high_temp",2023-08-23,NA
"1000000000","hospital","station","high_temp",2023-08-24,NA
"1000000000","hospital","station","high_temp",2023-08-25,NA
"1000000000","hospital","station","high_temp",2023-08-26,NA
"1000000000","hospital","station","high_temp",2023-08-27,NA
"1000000000","hospital","station","high_temp",2023-08-28,NA
"1000000000","hospital","station","high_temp",2023-08-29,NA
"1000000000","hospital","station","high_temp",2023-08-30,NA
"1000000000","hospital","station","high_temp",2023-08-31,NA
"1000000000","hospital","station","high_temp",2023-09-01,NA
"1000000000","hospital","station","high_temp",2023-09-02,NA
"1000000000","hospital","station","high_temp",2023-09-03,NA
"1000000000","hospital","station","high_temp",2023-09-04,NA
"1000000000","hospital","station","high_temp",2023-09-05,NA
"1000000000","hospital","station","high_temp",2023-09-06,NA
"1000000000","hospital","station","high_temp",2023-09-07,NA
"1000000000","hospital","station","high_temp",2023-09-08,NA
"1000000000","hospital","station","high_temp",2023-09-09,NA
"1000000000","hospital","station","high_temp",2023-09-10,NA
"1000000000","hospital","station","high_temp",2023-09-11,NA
"1000000000","hospital","station","high_temp",2023-09-12,NA
"1000000000","hospital","station","high_temp",2023-09-13,NA
"1000000000","hospital","station","high_temp",2023-09-14,NA
"1000000000","hospital","station","high_temp",2023-09-15,NA
"1000000000","hospital","station","high_temp",2023-09-16,NA
"1000000000","hospital","station","high_temp",2023-09-17,NA
"1000000000","hospital","station","high_temp",2023-09-18,NA
"1000000000","hospital","station","high_temp",2023-09-19,NA
"1000000000","hospital","station","high_temp",2023-09-20,NA
"1000000000","hospital","station","high_temp",2023-09-21,NA
"1000000000","hospital","station","high_temp",2023-09-22,NA
"1000000000","hospital","station","high_temp",2023-09-23,NA
"1000000000","hospital","station","high_temp",2023-09-24,NA
"1000000000","hospital","station","high_temp",2023-09-25,NA
"1000000000","hospital","station","high_temp",2023-09-26,NA
"1000000000","hospital","station","high_temp",2023-09-27,NA
"1000000000","hospital","station","high_temp",2023-09-28,NA
"1000000000","hospital","station","high_temp",2023-09-29,NA
"1000000000","hospital","station","high_temp",2023-09-30,NA
"1000000000","hospital","station","high_temp",2023-10-01,NA
"1000000000","hospital","station","high_temp",2023-10-02,NA
"1000000000","hospital","station","high_temp",2023-10-03,NA
"1000000000","hospital","station","high_temp",2023-10-04,NA
"1000000000","hospital","station","high_temp",2023-10-05,NA
"1000000000","hospital","station","high_temp",2023-10-06,NA
"1000000000","hospital","station","high_temp",2023-10-07,NA
"1000000000","hospital","station","high_temp",2023-10-08,NA
"1000000000","hospital","station","high_temp",2023-10-09,NA
"1000000000","hospital","station","high_temp",2023-10-10,NA
"1000000000","hospital","station","high_temp",2023-10-11,NA
"1000000000","hospital","station","high_temp",2023-10-12,NA
"1000000000","hospital","station","high_temp",2023-10-13,NA
"1000000000","hospital","station","high_temp",2023-10-14,NA
"1000000000","hospital","station","high_temp",2023-10-15,NA
"1000000000","hospital","station","high_temp",2023-10-16,NA
"1000000000","hospital","station","high_temp",2023-10-17,NA
"1000000000","hospital","station","high_temp",2023-10-18,NA
"1000000000","hospital","station","high_temp",2023-10-19,NA
"1000000000","hospital","station","high_temp",2023-10-20,NA
"1000000000","hospital","station","high_temp",2023-10-21,NA
"1000000000","hospital","station","high_temp",2023-10-22,NA
"1000000000","hospital","station","high_temp",2023-10-23,NA
"1000000000","hospital","station","high_temp",2023-10-24,NA
"1000000000","hospital","station","high_temp",2023-10-25,NA
"1000000000","hospital","station","high_temp",2023-10-26,NA
"1000000000","hospital","station","high_temp",2023-10-27,NA
"1000000000","hospital","station","high_temp",2023-10-28,NA
"1000000000","hospital","station","high_temp",2023-10-29,NA
"1000000000","hospital","station","high_temp",2023-10-30,NA
"1000000000","hospital","station","high_temp",2023-10-31,NA
"1000000000","hospital","station","high_temp",2023-11-01,NA
"1000000000","hospital","station","high_temp",2023-11-02,NA
"1000000000","hospital","station","high_temp",2023-11-03,NA
"1000000000","hospital","station","high_temp",2023-11-04,NA
"1000000000","hospital","station","high_temp",2023-11-05,NA
"1000000000","hospital","station","high_temp",2023-11-06,NA
"1000000000","hospital","station","high_temp",2023-11-07,NA
"1000000000","hospital","station","high_temp",2023-11-08,NA
"1000000000","hospital","station","high_temp",2023-11-09,NA
"1000000000","hospital","station","high_temp",2023-11-10,NA
"1000000000","hospital","station","high_temp",2023-11-11,NA
"1000000000","hospital","station","high_temp",2023-11-12,NA
"1000000000","hospital","station","high_temp",2023-11-13,NA
"1000000000","hospital","station","high_temp",2023-11-14,NA
"1000000000","hospital","station","high_temp",2023-11-15,NA
"1000000000","hospital","station","high_temp",2023-11-16,NA
"1000000000","hospital","station","high_temp",2023-11-17,NA
"1000000000","hospital","station","high_temp",2023-11-18,NA
"1000000000","hospital","station","high_temp",2023-11-19,NA
"1000000000","hospital","station","high_temp",2023-11-20,NA
"1000000000","hospital","station","high_temp",2023-11-21,NA
"1000000000","hospital","station","high_temp",2023-11-22,NA
"1000000000","hospital","station","high_temp",2023-11-23,34.5911111111111
"1000000000","hospital","station","high_temp",2023-11-24,28.5993055555556
"1000000000","hospital","station","high_temp",2023-11-25,27.5229166666667
"1000000000","hospital","station","high_temp",2023-11-26,26.7826388888889
"1000000000","hospital","station","high_temp",2023-11-27,28.2319444444444
"1000000000","hospital","station","high_temp",2023-11-28,28.3729166666667
"1000000000","hospital","station","high_temp",2023-11-29,27.9131944444444
"1000000000","hospital","station","high_temp",2023-11-30,26.3097222222222
"1000000000","hospital","station","high_temp",2023-12-01,24.4727891156463
"1000000000","hospital","station","high_temp",2023-12-02,NA
"1000000000","hospital","station","high_temp",2023-12-03,NA
"1000000000","hospital","station","high_temp",2023-12-04,NA
"1000000000","hospital","station","high_temp",2023-12-05,NA
"1000000000","hospital","station","high_temp",2023-12-06,NA
"1000000000","hospital","station","high_temp",2023-12-07,NA
